State,Agency Type,Agency Name,Population,Total Offenses,Crimes Against Persons,Crimes Against Property,Crimes Against Society,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With an Object,Fondling,Incest,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,Fraud Offenses,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Impersonation,Welfare Fraud,Wire Fraud,Identity Theft,Hacking/Computer Invasion,Larceny/Theft Offenses,Pocket picking,Purse snatching,Shoplifting,Theft From Building,Theft From Coin Operated Machine or Device,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Animal Cruelty,Drug/Narcotic Offenses,Drug/Narcotic Violations,Drug Equipment Violations,Gambling Offenses,Betting/Wagering,Operating/Promoting/Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Pornography/Obscene Material,Prostitution Offenses,Prostitution,Assisting or Promoting Prostitution,Purchasing Prostitution,Weapon Law Violations,State Total
ALABAMA,Cities,Hoover,"85,670","4,293",840,"2,801",652,811,68,504,239,4,4,0,0,0,0,0,4,21,13,2,0,6,0,0,2,0,124,86,226,58,2,407,107,151,149,0,0,0,0,"1,713",4,1,798,172,2,333,54,349,101,27,55,2,580,428,152,0,0,0,0,0,2,1,1,0,0,67,4293
ARIZONA,Cities,Apache Junction,42531,4311,430,,487,383,71,266,46,3,2,1,0,0,0,0,5,39,12,0,0,21,0,6,6,1,,38,258,0,2,111,55,28,28,0,0,0,0,490,0,0,161,41,4,85,20,179,82,14,18,14,431,225,206,0,0,0,0,0,6,0,0,0,0,36,26616
ARIZONA,Cities,Coolidge,13138,1155,230,684,241,214,61,129,24,2,2,0,0,0,0,0,1,13,2,0,0,4,0,7,5,1,75,9,198,0,0,34,20,9,5,0,0,0,0,310,0,0,172,0,0,39,3,96,38,5,9,0,222,103,119,0,0,0,0,0,1,0,0,0,0,18,26616
ARIZONA,Cities,Eagar,4897,102,36,29,37,21,7,10,4,0,0,0,0,0,0,0,0,15,3,0,0,9,0,3,0,0,7,0,1,0,0,5,4,1,0,0,0,0,0,13,0,0,0,0,0,1,0,12,1,1,1,0,36,18,18,0,0,0,0,0,0,0,0,0,0,1,26616
ARIZONA,Cities,Gilbert,253619,10589,1844,6144,2601,1642,157,1200,285,2,1,1,0,0,0,0,41,159,48,0,0,84,0,27,11,2,404,161,1854,30,16,840,295,234,3,0,0,302,6,2548,2,8,651,85,0,858,60,884,155,45,78,17,2449,1153,1296,0,0,0,0,0,47,10,10,0,0,78,26616
ARIZONA,Cities,Huachuca City,1723,73,26,41,6,20,1,16,3,1,1,0,0,0,0,0,0,5,4,0,0,0,0,1,0,0,6,0,16,0,0,5,4,0,0,0,0,1,0,12,0,0,0,0,0,1,0,11,2,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,26616
ARIZONA,Cities,Somerton,16771,257,70,155,32,57,15,30,12,6,6,0,0,0,0,0,6,1,1,0,0,0,0,0,1,0,15,9,53,0,0,11,9,1,1,0,0,0,0,48,0,0,5,0,0,6,0,37,15,3,0,0,26,14,12,0,0,0,0,0,1,0,0,0,0,5,26616
ARIZONA,Cities,Wellton,3048,105,26,58,21,24,4,18,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,9,1,19,0,0,5,3,0,0,0,0,2,0,22,0,0,0,0,0,0,0,22,2,0,0,0,20,8,12,0,0,0,0,0,0,0,0,0,0,1,26616
ARIZONA,Cities,Yuma,98769,7037,1110,4575,1352,965,309,536,120,13,11,2,0,0,0,0,18,114,27,0,0,58,0,29,14,0,401,59,1263,0,6,453,213,118,121,1,0,0,0,2073,0,0,660,0,0,160,22,1231,251,30,25,1,1226,597,629,0,0,0,0,0,30,2,0,2,0,93,26616
ARKANSAS,Cities,Alexander,"3,315",216,55,113,48,48,9,23,16,0,0,0,0,0,0,0,1,6,2,4,0,0,0,0,0,0,17,1,25,0,0,6,4,2,0,0,0,0,0,59,0,0,1,4,0,9,0,45,3,0,2,0,47,29,18,0,0,0,0,0,0,0,0,0,0,1,236358
ARKANSAS,Cities,Alma,"5,888",616,213,341,62,189,15,93,81,0,0,0,0,0,0,0,3,21,8,10,0,3,0,0,0,0,32,16,54,0,0,31,2,21,8,0,0,0,0,188,0,2,18,18,0,23,4,123,12,2,6,0,60,35,25,0,0,0,0,0,0,0,0,0,0,2,236358
ARKANSAS,Cities,Altus,729,63,11,30,22,11,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,1,1,7,0,0,2,0,22,12,10,0,0,0,0,0,0,0,0,0,0,0,236358
ARKANSAS,Cities,Amity,675,14,7,3,4,7,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,1,236358
ARKANSAS,Cities,Ashdown,"4,370",322,65,156,101,60,10,49,1,0,0,0,0,0,0,0,1,4,3,0,0,1,0,0,0,0,22,14,39,0,0,0,0,0,0,0,0,0,0,76,0,0,24,0,0,1,0,51,4,0,1,0,99,83,16,0,0,0,0,0,0,0,0,0,0,2,236358
