Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Kidnapping/Abduction,Sex Offenses,Rape,Sodomy,Fondling,Statutory Rape,Arson,Bribery,Burglary/Breaking & Entering,Counterfeiting/Forgery,Destruction/Damage/Vandalism of Property,Embezzlement,Extortion/Blackmail,Fraud Offenses,False Pretenses/Swindle/Confidence Game,Credit Card/Automated Teller Machine Fraud,Impersonation,Larceny/Theft Offenses,Pocket picking,Purse snatching,Shoplifting,Theft From Building,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses,Drug/Narcotic Offenses,Drug/Narcotic Violations,Drug Equipment Violations,Weapon Law Violations
811,68,504,239,4,21,13,2,6,0,2,0,124,86,226,58,2,407,107,151,149,"1,713",4,1,798,172,333,54,349,101,27,55,580,428,152,67
383,71,266,46,5,39,12,0,21,6,6,1,,38,258,0,2,111,55,28,28,490,0,0,161,41,85,20,179,82,14,18,431,225,206,36
214,61,129,24,1,13,2,0,4,7,5,1,75,9,198,0,0,34,20,9,5,310,0,0,172,0,39,3,96,38,5,9,222,103,119,18
21,7,10,4,0,15,3,0,9,3,0,0,7,0,1,0,0,5,4,1,0,13,0,0,0,0,1,0,12,1,1,1,36,18,18,1
1642,157,1200,285,41,159,48,0,84,27,11,2,404,161,1854,30,16,840,295,234,3,2548,2,8,651,85,858,60,884,155,45,78,2449,1153,1296,78
20,1,16,3,0,5,4,0,0,1,0,0,6,0,16,0,0,5,4,0,0,12,0,0,0,0,1,0,11,2,0,0,6,3,3,0
57,15,30,12,6,1,1,0,0,0,1,0,15,9,53,0,0,11,9,1,1,48,0,0,5,0,6,0,37,15,3,0,26,14,12,5
24,4,18,2,0,2,1,0,1,0,0,0,9,1,19,0,0,5,3,0,0,22,0,0,0,0,0,0,22,2,0,0,20,8,12,1
965,309,536,120,18,114,27,0,58,29,14,0,401,59,1263,0,6,453,213,118,121,2073,0,0,660,0,160,22,1231,251,30,25,1226,597,629,93
48,9,23,16,1,6,2,4,0,0,0,0,17,1,25,0,0,6,4,2,0,59,0,0,1,4,9,0,45,3,0,2,47,29,18,1
189,15,93,81,3,21,8,10,3,0,0,0,32,16,54,0,0,31,2,21,8,188,0,2,18,18,23,4,123,12,2,6,60,35,25,2
11,0,10,1,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,12,0,0,3,0,1,1,7,0,0,2,22,12,10,0
7,1,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,3,1,2,1
60,10,49,1,1,4,3,0,1,0,0,0,22,14,39,0,0,0,0,0,0,76,0,0,24,0,1,0,51,4,0,1,99,83,16,2
19,5,7,7,0,0,0,0,0,0,0,0,3,1,1,0,0,7,3,2,2,38,0,0,12,3,0,0,23,1,0,1,15,10,5,0
44,5,34,5,0,6,2,4,0,0,0,0,7,1,27,0,0,6,3,3,0,60,0,0,10,0,4,0,45,9,0,6,55,30,25,2
31,7,14,10,2,5,1,4,0,0,0,0,5,3,31,0,0,2,0,2,0,25,0,0,0,4,3,0,18,2,0,1,10,5,5,2
13,4,6,3,0,0,0,0,0,0,0,0,7,2,9,0,0,6,2,3,1,14,0,0,2,0,3,1,8,1,0,3,43,26,17,4
127,12,82,33,0,9,6,3,0,0,1,0,23,19,38,0,0,8,1,6,1,90,0,0,6,1,5,1,76,6,2,6,70,0,34,3
115,19,55,41,4,9,3,6,0,0,0,0,5,5,27,0,0,8,0,3,5,68,0,0,4,12,11,0,41,4,0,9,294,148,146,12
73,22,33,18,1,5,4,1,0,0,0,0,37,37,47,0,0,16,4,12,0,225,0,0,48,10,31,1,135,13,2,3,205,137,68,14
17,2,4,11,3,0,0,0,0,0,0,0,5,1,4,0,0,1,1,0,0,18,0,0,0,1,4,0,13,3,1,0,15,11,4,2
3,1,0,2,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,5,0,0,0,0,2,0,3,1,0,0,0,0,0,0
93,14,72,7,0,9,2,7,0,0,0,0,39,10,68,0,0,17,2,15,0,220,0,1,21,58,31,2,105,16,0,5,172,85,87,5
121,32,44,45,3,18,12,6,0,0,1,0,40,10,81,0,0,31,12,19,0,148,0,0,1,16,26,2,103,5,0,18,308,161,147,9
760,164,278,318,9,32,15,0,13,1,6,0,200,114,363,0,4,134,39,88,7,1044,0,3,164,57,260,59,500,129,27,55,396,212,184,23
450,88,155,207,11,61,17,3,40,0,1,0,82,56,199,4,3,159,55,58,46,678,0,2,63,0,238,1,373,33,9,38,605,319,286,25
84,13,51,20,0,12,5,6,1,0,2,0,44,12,18,0,0,10,0,9,0,169,0,0,33,1,2,0,133,11,4,0,67,30,37,4
11,0,10,1,0,6,2,2,2,0,0,0,3,0,5,0,0,0,0,0,0,18,0,0,0,1,4,0,13,1,0,2,92,55,37,1
518,78,218,222,0,14,5,0,3,5,0,0,98,42,214,0,0,16,13,2,1,528,0,0,128,49,37,17,296,3,17,1,105,102,3,21
36,3,13,20,0,3,1,2,0,0,0,0,6,1,7,0,0,1,0,1,0,19,0,0,1,1,7,0,10,3,0,0,62,40,22,1
88,14,62,12,1,2,1,1,0,0,0,0,34,7,30,0,0,8,0,5,3,70,0,0,4,9,5,2,50,3,0,8,54,30,24,10
17,2,8,7,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,7,0,1,1,0,0,0,5,1,0,1,19,8,11,0
106,27,58,21,7,1,1,0,0,0,2,0,26,10,42,0,0,12,3,6,3,44,0,0,0,1,3,1,39,13,1,4,87,47,40,16
35,3,23,9,1,6,3,2,1,0,1,0,9,2,10,0,0,6,3,1,2,58,0,0,1,2,18,0,37,1,0,2,46,32,14,6
204,23,98,83,4,10,5,0,5,0,3,0,45,78,142,0,0,138,19,91,23,810,0,0,209,3,229,12,357,61,3,4,262,165,97,17
12,2,6,4,0,0,0,0,0,0,0,0,6,0,10,0,0,1,1,0,0,14,0,1,0,2,1,0,10,1,0,0,5,3,2,0
504,58,260,186,5,41,11,29,1,0,2,0,60,60,185,0,0,80,2,43,35,269,1,0,35,28,63,4,138,53,3,17,188,110,78,12
16,0,11,5,0,1,1,0,0,0,0,0,2,2,5,0,0,3,1,1,1,30,0,0,1,4,2,1,22,2,0,5,21,13,8,0
430,95,221,114,1,13,3,1,2,3,4,0,84,29,167,0,0,18,8,6,1,274,6,1,64,16,17,11,159,15,10,4,87,58,29,13
3,0,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,12,0,0,0,0,4,1,7,1,0,3,9,4,5,4
34,1,16,17,0,1,1,0,0,0,0,0,11,4,16,0,0,7,1,4,1,40,0,0,4,4,6,0,26,1,2,2,20,12,8,1
7,1,4,2,2,2,2,0,0,0,0,0,3,0,8,0,0,0,0,0,0,17,0,0,0,1,5,1,10,1,0,1,11,7,4,0
22,7,12,3,0,2,0,2,0,0,0,0,2,0,6,0,0,1,0,1,0,12,0,0,0,2,0,1,9,3,1,0,2,2,0,0
