State,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Human Trafficking Offenses,Commercial Sex Acts,Involuntary Servitude,Kidnapping/Abduction,Rape,Sodomy,Sexual Assault With an Object,Fondling,Incest,Statutory Rape,Arson,Bribery,Embezzlement,Extortion/Blackmail,Welfare Fraud,Wire Fraud,Hacking/Computer Invasion,Pocket picking,Purse snatching,Theft From Coin Operated Machine or Device,Animal Cruelty,Gambling Offenses,Betting/Wagering,Operating/Promoting/Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Pornography/Obscene Material,Prostitution,Assisting or Promoting Prostitution,Purchasing Prostitution,State Total
ALABAMA,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,2.0,0.0,6.0,0.0,0.0,2.0,0.0,58.0,2.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4293
ARIZONA,34.0,30.0,4.0,0.0,0.0,0.0,0.0,81.0,111.0,4.0,0.0,192.0,0.0,78.0,44.0,5.0,30.0,25.0,2.0,0.0,6.0,2.0,8.0,4.0,42.0,0.0,0.0,0.0,0.0,0.0,92.0,10.0,2.0,0.0,239544
ARKANSAS,251.0,229.0,11.0,11.0,4.0,2.0,2.0,668.0,1478.0,585.0,95.0,556.0,7.0,55.0,416.0,2.0,125.0,20.0,8.0,58.0,0.0,62.0,87.0,93.0,6.0,47.0,1.0,28.0,18.0,0.0,341.0,130.0,7.0,0.0,59325858
COLORADO,266.0,204.0,48.0,14.0,44.0,39.0,5.0,1905.0,2306.0,669.0,526.0,2310.0,53.0,129.0,816.0,149.0,401.0,429.0,15.0,390.0,509.0,192.0,238.0,359.0,667.0,4.0,1.0,3.0,0.0,0.0,688.0,305.0,71.0,28.0,55396479
CONNECTICUT,86.0,75.0,11.0,0.0,4.0,3.0,1.0,253.0,519.0,95.0,52.0,809.0,12.0,113.0,149.0,4.0,319.0,110.0,15.0,686.0,101.0,85.0,76.0,34.0,121.0,6.0,1.0,2.0,2.0,1.0,228.0,52.0,7.0,4.0,21719838
DELAWARE,53.0,48.0,4.0,1.0,25.0,15.0,10.0,249.0,242.0,55.0,28.0,394.0,0.0,40.0,127.0,5.0,245.0,46.0,0.0,423.0,39.0,37.0,27.0,32.0,1294.0,36.0,36.0,0.0,0.0,0.0,109.0,77.0,6.0,31.0,4054860
FEDERAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2673
GEORGIA,21.0,21.0,0.0,0.0,34.0,29.0,5.0,109.0,104.0,88.0,14.0,432.0,1.0,39.0,49.0,4.0,29.0,19.0,0.0,28.0,2.0,31.0,16.0,0.0,53.0,6.0,4.0,0.0,2.0,0.0,163.0,89.0,20.0,0.0,952050
HAWAII,28.0,27.0,1.0,0.0,4.0,4.0,0.0,289.0,232.0,54.0,65.0,451.0,1.0,30.0,272.0,1.0,77.0,44.0,0.0,196.0,55.0,287.0,282.0,37.0,51.0,319.0,0.0,194.0,125.0,0.0,51.0,34.0,7.0,34.0,51414
IDAHO,39.0,34.0,4.0,1.0,2.0,2.0,0.0,198.0,580.0,116.0,137.0,999.0,15.0,69.0,141.0,2.0,160.0,47.0,1.0,333.0,18.0,184.0,21.0,30.0,34.0,2.0,0.0,1.0,1.0,0.0,253.0,24.0,6.0,3.0,7701624
ILLINOIS,19.0,14.0,1.0,4.0,6.0,3.0,3.0,148.0,109.0,16.0,0.0,70.0,0.0,0.0,70.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,41.0,0.0,16012
INDIANA,46.0,31.0,13.0,2.0,7.0,4.0,3.0,153.0,196.0,21.0,4.0,536.0,6.0,11.0,104.0,3.0,77.0,6.0,0.0,33.0,5.0,30.0,30.0,10.0,32.0,0.0,0.0,0.0,0.0,0.0,170.0,2.0,3.0,0.0,3480120
IOWA,52.0,49.0,3.0,0.0,0.0,0.0,0.0,161.0,781.0,179.0,99.0,615.0,25.0,66.0,292.0,29.0,179.0,72.0,38.0,355.0,0.0,253.0,57.0,98.0,0.0,4.0,3.0,0.0,1.0,0.0,322.0,53.0,13.0,0.0,23501290
KANSAS,77.0,67.0,6.0,4.0,0.0,0.0,0.0,1075.0,815.0,190.0,0.0,1031.0,2.0,65.0,290.0,4.0,693.0,142.0,35.0,0.0,0.0,113.0,200.0,95.0,0.0,8.0,2.0,3.0,2.0,1.0,328.0,69.0,65.0,0.0,34899598
KENTUCKY,243.0,220.0,17.0,8.0,48.0,22.0,26.0,1061.0,1175.0,549.0,0.0,1465.0,17.0,128.0,279.0,61.0,1849.0,75.0,1.0,1.0,158.0,118.0,114.0,81.0,266.0,6.0,0.0,5.0,1.0,0.0,560.0,149.0,37.0,0.0,61769200
LOUISIANA,80.0,77.0,3.0,0.0,0.0,0.0,0.0,117.0,215.0,75.0,9.0,262.0,0.0,30.0,54.0,3.0,97.0,28.0,0.0,21.0,0.0,1.0,7.0,8.0,0.0,2.0,1.0,1.0,0.0,0.0,224.0,36.0,14.0,0.0,1444872
MAINE,14.0,11.0,2.0,1.0,5.0,4.0,1.0,7.0,281.0,35.0,6.0,270.0,6.0,39.0,35.0,2.0,59.0,22.0,2.0,84.0,3.0,2.0,2.0,1.0,8.0,5.0,0.0,3.0,2.0,0.0,119.0,20.0,13.0,7.0,682217
MARYLAND,17.0,15.0,0.0,2.0,0.0,0.0,0.0,10.0,206.0,92.0,58.0,222.0,1.0,8.0,6.0,0.0,69.0,38.0,1.0,43.0,8.0,118.0,73.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,11.0,1.0,5.0,31518
MASSACHUSETTS,113.0,104.0,8.0,1.0,27.0,18.0,9.0,566.0,1435.0,373.0,54.0,1115.0,84.0,744.0,293.0,5.0,393.0,245.0,6.0,828.0,52.0,715.0,271.0,18.0,80.0,65.0,7.0,54.0,4.0,0.0,693.0,276.0,44.0,25.0,56820681
MICHIGAN,616.0,552.0,41.0,23.0,50.0,48.0,2.0,834.0,4569.0,1816.0,630.0,5380.0,10.0,58.0,1657.0,11.0,2914.0,424.0,83.0,1277.0,229.0,434.0,410.0,110.0,518.0,32.0,20.0,11.0,1.0,0.0,1176.0,1038.0,151.0,16.0,282678704
MINNESOTA,63.0,50.0,11.0,2.0,33.0,20.0,13.0,235.0,595.0,75.0,33.0,703.0,7.0,2.0,120.0,1.0,144.0,33.0,18.0,136.0,20.0,65.0,408.0,27.0,173.0,2.0,1.0,0.0,1.0,0.0,183.0,6.0,0.0,5.0,3916188
MISSISSIPPI,54.0,45.0,6.0,3.0,1.0,1.0,0.0,34.0,143.0,11.0,14.0,130.0,0.0,35.0,45.0,0.0,479.0,23.0,0.0,16.0,2.0,4.0,3.0,26.0,186.0,1.0,1.0,0.0,0.0,0.0,72.0,39.0,2.0,3.0,679201
MISSOURI,191.0,170.0,20.0,1.0,10.0,7.0,3.0,170.0,412.0,350.0,11.0,273.0,9.0,64.0,248.0,1.0,277.0,9.0,6.0,261.0,24.0,105.0,77.0,34.0,45.0,4.0,0.0,1.0,3.0,0.0,96.0,93.0,15.0,37.0,3542698
MONTANA,23.0,19.0,4.0,1.0,2.0,2.0,0.0,225.0,474.0,54.0,33.0,703.0,43.0,29.0,96.0,1.0,79.0,3.0,5.0,11.0,0.0,14.0,34.0,47.0,101.0,2.0,0.0,2.0,0.0,0.0,16.0,9.0,1.0,4.0,5586750
NEBRASKA,17.0,13.0,4.0,0.0,0.0,0.0,0.0,125.0,303.0,45.0,74.0,366.0,16.0,29.0,80.0,5.0,126.0,53.0,6.0,36.0,0.0,28.0,10.0,33.0,6.0,0.0,0.0,0.0,0.0,0.0,159.0,27.0,11.0,3.0,3597958
NEW HAMPSHIRE,43.0,32.0,11.0,0.0,5.0,5.0,0.0,269.0,451.0,59.0,39.0,937.0,45.0,124.0,118.0,3.0,172.0,76.0,9.0,93.0,73.0,5.0,8.0,23.0,183.0,5.0,0.0,5.0,0.0,0.0,567.0,55.0,16.0,4.0,10267398
NEW MEXICO,106.0,94.0,9.0,3.0,6.0,3.0,3.0,608.0,403.0,115.0,74.0,484.0,0.0,18.0,102.0,21.0,287.0,69.0,3.0,59.0,0.0,31.0,23.0,48.0,32.0,0.0,0.0,0.0,0.0,0.0,90.0,70.0,40.0,1.0,404268
NORTH CAROLINA,548.0,501.0,18.0,29.0,55.0,33.0,22.0,1596.0,1864.0,407.0,207.0,2443.0,69.0,280.0,1124.0,9.0,2160.0,398.0,84.0,1227.0,117.0,429.0,401.0,299.0,391.0,134.0,43.0,48.0,43.0,0.0,1129.0,223.0,171.0,9.0,126884175
NORTH DAKOTA,25.0,23.0,2.0,0.0,4.0,4.0,0.0,121.0,349.0,44.0,12.0,540.0,8.0,56.0,83.0,6.0,119.0,23.0,2.0,114.0,39.0,2.0,8.0,56.0,100.0,2.0,0.0,1.0,1.0,0.0,177.0,14.0,13.0,17.0,4905993
OHIO,484.0,478.0,1.0,5.0,2.0,1.0,1.0,2006.0,4172.0,400.0,0.0,3031.0,34.0,198.0,780.0,14.0,171.0,266.0,64.0,116.0,23.0,829.0,591.0,157.0,164.0,5.0,0.0,4.0,1.0,0.0,1266.0,74.0,432.0,0.0,181155392
OKLAHOMA,110.0,90.0,18.0,2.0,0.0,0.0,0.0,306.0,590.0,167.0,114.0,1014.0,44.0,90.0,365.0,6.0,606.0,97.0,32.0,366.0,12.0,70.0,74.0,131.0,52.0,1.0,0.0,1.0,0.0,0.0,252.0,23.0,8.0,1.0,35350832
